Name,Glycan Structure
G02915XR,G02915XR
G02917SU,G02917SU
G02923VP,G02923VP
G02928DH,G02928DH
G02933CB,G02933CB
G02934UB,G02934UB
G02938HM,G02938HM
G02942YF,G02942YF
G02945KQ,G02945KQ
G02945OA,G02945OA
G02946BE,G02946BE
G02946WF,G02946WF
G02952NR,G02952NR
G02953GB,G02953GB
G02963KR,G02963KR
G02967BC,G02967BC
G02967YO,G02967YO
G02972KK,G02972KK
G02985MG,G02985MG
G02993KM,G02993KM
G02998EX,G02998EX
G03003KR,G03003KR
G03004PD,G03004PD
G03005MJ,G03005MJ
G03006JP,G03006JP
G03008GL,G03008GL
G03008XH,G03008XH
G03015LB,G03015LB
G03015NB,G03015NB
G03016BW,G03016BW
G03019FG,G03019FG
G03021PP,G03021PP
G03021WA,G03021WA
G03022UF,G03022UF
G03024EJ,G03024EJ
G03027LH,G03027LH
G03031PQ,G03031PQ
G03032GA,G03032GA
G03036FD,G03036FD
G03041PI,G03041PI
G03042EN,G03042EN
G03042JU,G03042JU
G03043IQ,G03043IQ
G03044ED,G03044ED
G03049NB,G03049NB
G03052ZR,G03052ZR
G03053IU,G03053IU
G03054QW,G03054QW
G03056DW,G03056DW
G03058EK,G03058EK
G03058JW,G03058JW
G03061QZ,G03061QZ
G03063FW,G03063FW
G03065ZA,G03065ZA
G03067VG,G03067VG
G03068YN,G03068YN
G03069HT,G03069HT
G03071KV,G03071KV
G03074ZG,G03074ZG
G03075ZE,G03075ZE
G03081ER,G03081ER
G03081NO,G03081NO
G03081TH,G03081TH
G03082CI,G03082CI
G03082II,G03082II
G03084ZT,G03084ZT
G03085SQ,G03085SQ
G03089XS,G03089XS
G03090HG,G03090HG
G03091JM,G03091JM
G03091JW,G03091JW
G03098CZ,G03098CZ
G03098VW,G03098VW
G03099FD,G03099FD
G03102GW,G03102GW
G03102IC,G03102IC
G03106MF,G03106MF
G03109ER,G03109ER
G03116ET,G03116ET
G03120VA,G03120VA
G03125DP,G03125DP
G03126PB,G03126PB
G03127AL,G03127AL
G03127JO,G03127JO
G03136UJ,G03136UJ
G03137RO,G03137RO
G03140AX,G03140AX
G03144AG,G03144AG
G03144EF,G03144EF
G03146JP,G03146JP
G03151MA,G03151MA
G03152RD,G03152RD
G03153DL,G03153DL
G03164NE,G03164NE
G03165SD,G03165SD
G03166JX,G03166JX
G03168RN,G03168RN
G03172PR,G03172PR
G03176RC,G03176RC
G03177HU,G03177HU
G03183MG,G03183MG
G03187PO,G03187PO
G03189XH,G03189XH
